genus	module_id	degree	total_enzyme_hits
Acaromyces	1	78.23613816727918	51
Acetobacteraceae	0	182.17335641135028	2
Achromobacter	0	182.17335641135028	1
Acidovorax	0	182.17335641135028	2
Actinomadura	2	12.261203825414029	1
Actinoplanes	0	182.17335641135028	2
Aeromicrobium	0	182.17335641135028	7
Agarivorans	0	182.17335641135028	1
Agrobacterium	0	182.17335641135028	5
Alcanivorax	0	182.17335641135028	113
Alicyclobacillus	0	182.17335641135028	43
Aliigemmobacter	0	182.17335641135028	1
Aliivibrio	0	182.17335641135028	2
Alkalilimnicola	1	78.23613816727918	1
Alkalisalibacterium	0	182.17335641135028	1
Alkalispirochaeta	1	78.23613816727918	1
Amycolatopsis	1	186.7130926380383	4
Ancylobacter	0	182.17335641135028	12
Antarctobacter	2	12.261203825414029	2
Aquabacterium	0	172.78202357638264	7
Archangium	1	78.23613816727918	2
Arenimonas	0	182.17335641135028	7
Arthrobacter	0	182.17335641135028	3
Aspergillus	1	78.23613816727918	266
Aureimonas	0	182.17335641135028	2
Bacillus	0	182.17335641135028	6
Beauveria	1	78.23613816727918	12
Blastomonas	0	182.17335641135028	1
Bordetella	0	182.17335641135028	1
Bosea	0	182.17335641135028	1
Botryosphaeria	1	78.23613816727918	6
Brachybacterium	0	182.17335641135028	1
Bradyrhizobium	0	180.6186165828521	20
Bremerella	1	78.23613816727918	2
Brevibacillus	0	182.17335641135028	13
Brevibacterium	0	182.17335641135028	2
Brevundimonas	0	182.17335641135028	9
Burkholderia	0	178.48084774294102	27
Caenimonas	0	182.17335641135028	1
Caenorhabditis	0	182.17335641135028	3
Caldovatus	0	182.17335641135028	2
Candidatus	0	171.35319605004764	20
Carbonactinospora	0	182.17335641135028	3
Caulobacter	1	78.23613816727918	3
Cellulomonas	1	78.23613816727918	2
Cephalotrichum	1	78.23613816727918	1
Ceratocystis	1	78.23613816727918	2
Cereibacter	0	182.17335641135028	1
Chelatococcus	0	182.17335641135028	1
Chitiniphilus	0	182.17335641135028	5
Chitinophaga	1	78.23613816727918	2
Chloracidobacterium	1	78.23613816727918	1
Choanephora	1	78.23613816727918	1
Clavibacter	0	182.17335641135028	3
Cognatilysobacter	0	182.17335641135028	2
Cohnella	0	182.17335641135028	6
Colletotrichum	1	78.23613816727918	3
Congregibacter	1	78.23613816727918	2
Cordyceps	1	78.23613816727918	1
Corynebacterium	0	180.5350021190378	12
Crenothrix	0	182.17335641135028	1
Cupriavidus	0	135.20418139292224	6
Curtobacterium	0	182.17335641135028	2
Curvibacter	0	182.17335641135028	1
Curvularia	1	78.23613816727918	4
Cypionkella	0	182.17335641135028	2
Delftia	0	182.17335641135028	1
Dietzia	0	182.17335641135028	2
Dulcicalothrix	1	78.23613816727918	1
Dyadobacter	0	182.17335641135028	3
Echinicola	1	186.7130926380383	2
Eiseniibacteriota	1	78.23613816727918	25
Ensifer	0	182.17335641135028	1
Enterobacter	0	182.17335641135028	1
Entotheonella	0	182.17335641135028	2
Eutypa	1	78.23613816727918	1
Exophiala	1	78.23613816727918	1
Falsiruegeria	2	12.261203825414029	1
Fistulifera	0	182.17335641135028	7
Flagellimonas	1	78.23613816727918	1
Flavihumibacter	0	182.17335641135028	10
Flavisolibacter	0	182.17335641135028	2
Flavobacterium	0	182.17335641135028	4
Fluviicoccus	0	182.17335641135028	5
Fontibacter	0	182.17335641135028	1
Frankia	1	78.23613816727918	3
Fulvivirga	0	182.17335641135028	1
Fusarium	1	78.23613816727918	95
Galdieria	0	182.17335641135028	2
Gemmatimonas	1	78.23613816727918	8
Geopseudomonas	0	182.17335641135028	2
Glutamicibacter	0	182.17335641135028	1
Gnomoniopsis	1	78.23613816727918	9
Gordonia	0	182.87461424008833	65
Granulosicoccus	2	12.261203825414029	3
Haliea	1	78.23613816727918	1
Haloarcula	0	182.17335641135028	9
Haloechinothrix	1	78.23613816727918	1
Haloprofundus	0	182.17335641135028	8
Halopseudomonas	0	182.17335641135028	3
Halorubrum	0	182.17335641135028	9
Hansschlegelia	0	182.17335641135028	9
